timestamp,user_id,user_role,table_name,action,access_details,ip_address,session_id,compliance_level
2025-07-26T23:36:28.452208,manager_david,management,transactions,ANALYZE,Performed management analysis on transactions data,192.168.1.71,session_9187,standard
2025-07-27T02:48:20.357974,data_scientist_sarah,data_scientist,marketing_emails,VIEW,Viewed table structure and sample data,192.168.1.148,session_9075,standard
2025-07-27T03:07:54.971302,analyst_john,data_analyst,transactions,ANALYZE,Performed data_analyst analysis on transactions data,192.168.1.65,session_6566,standard
2025-07-27T04:41:05.652210,engineer_lisa,data_engineer,marketing_emails,SELECT,Queried 458 records with filters,192.168.1.197,session_1785,standard
2025-07-27T04:48:25.128317,analyst_john,data_analyst,users,ANALYZE,Performed data_analyst analysis on users data,192.168.1.65,session_7635,standard
2025-07-27T07:15:59.275413,developer_tom,developer,transactions,SELECT,Queried 367 records with filters,192.168.1.195,session_5482,standard
2025-07-27T07:45:52.761909,compliance_officer_mike,compliance,marketing_emails,VIEW,Viewed table structure and sample data,192.168.1.98,session_6274,compliant
2025-07-27T07:59:59.751418,analyst_rachel,data_analyst,users,ANALYZE,Performed data_analyst analysis on users data,192.168.1.6,session_1092,standard
2025-07-27T08:14:16.377014,auditor_emma,audit,transactions,RESTORE,Standard RESTORE operation on transactions,192.168.1.50,session_3417,compliant
2025-07-27T08:57:53.148247,analyst_john,data_analyst,users,VIEW,Viewed table structure and sample data,192.168.1.65,session_6120,standard
2025-07-27T10:32:51.971535,data_scientist_sarah,data_scientist,marketing_emails,VIEW,Viewed table structure and sample data,192.168.1.148,session_4800,standard
2025-07-27T11:10:47.166237,manager_david,management,users,VIEW,Viewed table structure and sample data,192.168.1.71,session_7658,standard
2025-07-27T12:02:20.680786,engineer_lisa,data_engineer,transactions,ANALYZE,Performed data_engineer analysis on transactions data,192.168.1.197,session_7213,standard
2025-07-27T13:16:40.915327,developer_tom,developer,marketing_emails,SELECT,Queried 396 records with filters,192.168.1.195,session_3860,standard
2025-07-27T13:47:07.525639,developer_tom,developer,marketing_emails,SELECT,Queried 712 records with filters,192.168.1.195,session_3255,standard
2025-07-27T14:01:26.074943,data_scientist_sarah,data_scientist,transactions,VIEW,Viewed table structure and sample data,192.168.1.148,session_2248,standard
2025-07-27T14:05:39.233434,admin_sam,administrator,transactions,VIEW,Viewed table structure and sample data,192.168.1.209,session_8137,standard
2025-07-27T14:10:54.751232,analyst_john,data_analyst,transactions,SELECT,Queried 10 records with filters,192.168.1.65,session_1254,standard
2025-07-27T14:18:04.839408,compliance_officer_mike,compliance,marketing_emails,SELECT,Queried 795 records with filters,192.168.1.98,session_9213,compliant
2025-07-27T14:54:46.510725,compliance_officer_mike,compliance,logs,BACKUP,Created backup of logs table,192.168.1.98,session_8488,compliant
2025-07-27T15:44:37.157961,developer_tom,developer,users,VIEW,Viewed table structure and sample data,192.168.1.195,session_4253,standard
2025-07-27T16:17:38.868176,manager_david,management,marketing_emails,ANALYZE,Performed management analysis on marketing_emails data,192.168.1.71,session_2742,standard
2025-07-27T16:40:39.117073,compliance_officer_mike,compliance,logs,SELECT,Queried 551 records with filters,192.168.1.98,session_5444,compliant
2025-07-27T21:09:40.330719,data_scientist_sarah,data_scientist,logs,ANALYZE,Performed data_scientist analysis on logs data,192.168.1.148,session_4691,standard
2025-07-27T21:20:09.888407,data_scientist_sarah,data_scientist,transactions,SELECT,Queried 778 records with filters,192.168.1.148,session_2141,standard
2025-07-27T21:36:39.221663,analyst_rachel,data_analyst,marketing_emails,ANALYZE,Performed data_analyst analysis on marketing_emails data,192.168.1.6,session_1733,standard
2025-07-27T22:07:27.318507,marketing_amy,marketing,transactions,VIEW,Viewed table structure and sample data,192.168.1.22,session_8593,standard
2025-07-27T22:16:28.850007,manager_david,management,marketing_emails,VIEW,Viewed table structure and sample data,192.168.1.71,session_1308,standard
2025-07-27T23:10:36.906423,auditor_emma,audit,marketing_emails,RESTORE,Standard RESTORE operation on marketing_emails,192.168.1.50,session_3158,compliant
2025-07-27T23:14:56.184894,analyst_rachel,data_analyst,logs,VIEW,Viewed table structure and sample data,192.168.1.6,session_2222,standard
2025-07-27T23:53:19.412488,admin_sam,administrator,transactions,VIEW,Viewed table structure and sample data,192.168.1.209,session_7475,standard
